"","P1PRIMPK","CHILDID","CREGION","GENDER","RACE","C1R4MSCL","WKBLACK","WKHISP","P1HFAMIL","C1CMOTOR","R1_KAGE","P1HIG_1","W1INCCAT","WKINCOME","A2TXSPEN","C1R4MPF","C1R4RPF","S2HVISIT","S2ORIENT","C7R4RPF","C7R4MPF","C6ATTLVL","P1NUMSIB"
"1603",NA,"0104001C",1,1,5,57.24,2,2,NA,15,68.47,NA,NA,20000,3,4,1,1,1,NA,NA,5,NA
"1604",6,"0104002C",1,2,5,52.16,2,2,1,13,68.7,18,11,80000,3,4,3,1,1,NA,NA,4,2
"1605",6,"0104003C",1,2,3,40.79,2,1,2,17,62.1,18,11,80000,3,3,3,1,1,9,9,5,0
"1606",NA,"0104006C",1,1,1,NA,2,2,NA,NA,NA,NA,12,35000,3,NA,NA,1,1,NA,NA,4,NA
"1607",NA,"0104007C",1,2,-9,NA,-9,-9,NA,NA,NA,NA,5,35000,3,NA,NA,1,1,NA,NA,4,NA
"1608",NA,"0104008C",1,1,1,NA,2,2,NA,NA,NA,NA,5,25000,3,NA,NA,1,1,5,7,3,NA
"1609",6,"0104009C",1,2,3,21.44,2,1,4,11,64.47,13,NA,63000,3,1,1,1,1,NA,NA,5,0
"1610",6,"0104010C",1,1,1,34.23,2,2,2,17,68.83,13,NA,75000,3,2,2,1,1,9,7,4,0
"1611",6,"0104012C",1,2,1,26.7,2,2,2,10,61.3,17,9,65000,3,2,1,1,1,9,7,5,0
"1612",2,"0104014C",1,2,1,24.69,2,2,4,14,68.2,16,NA,55000,3,2,2,1,1,NA,NA,NA,0
"1613",8,"0104019C",1,1,3,22.61,2,1,2,9,66.97,16,NA,35000,3,2,1,1,1,8,8,5,0
"1614",6,"0104025C",1,2,3,26.67,2,1,1,15,64.77,13,6,25000,3,1,1,1,1,NA,NA,5,2
"1615",NA,"0104027C",1,1,1,NA,2,2,NA,NA,NA,NA,7,33000,3,NA,NA,1,1,9,8,5,NA
"1616",6,"0105001C",1,1,5,-9,2,2,2,-9,73.47,13,10,60000,NA,-9,-9,1,2,10,9,3,0
"1617",5,"0105002C",1,1,3,19.88,1,1,1,2,62.33,13,7,16000,NA,0,1,1,2,NA,NA,NA,2
"1618",6,"0105003C",1,1,1,-9,2,2,1,-9,62.23,19,10,60000,NA,-9,-9,1,2,NA,NA,NA,2
"1619",6,"0105004C",1,1,1,-9,2,2,1,-9,70.97,18,12,1e+05,NA,-9,-9,1,2,7,6,2,1
"1620",NA,"0105005C",1,-9,-9,NA,NA,NA,NA,NA,-9,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"1621",2,"0105006C",1,1,2,18.66,1,2,3,6,60.2,13,2,120000,NA,1,-9,1,2,NA,NA,NA,1
"1622",NA,"0105007C",1,1,2,28.81,1,2,NA,14,65.9,NA,2,2658,NA,2,3,1,2,NA,NA,NA,NA
"1623",NA,"0105008C",1,-9,-9,NA,NA,NA,NA,NA,-9,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"1624",NA,"0105009C",1,-9,-9,NA,NA,NA,NA,NA,-9,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"1625",NA,"0105010C",1,1,1,-9,NA,NA,NA,-9,75.47,NA,7,NA,NA,-9,1,1,2,NA,NA,NA,NA
"1626",5,"0105011C",1,1,3,18.49,2,1,3,11,64.63,13,6,29000,NA,1,1,1,2,7,6,4,1
"1627",NA,"0105012C",1,-9,-9,NA,NA,NA,NA,NA,-9,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"1628",NA,"0105013C",1,-9,-9,NA,NA,NA,NA,NA,-9,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"1629",0,"0105014C",1,2,2,13.26,1,2,1,-9,73.37,10,NA,5685.5,NA,0,0,1,2,NA,NA,NA,3
"1630",0,"0105015C",1,1,1,-9,2,2,1,-9,63.27,11,9,70000,NA,-9,1,1,2,NA,NA,NA,1
"1631",NA,"0105016C",1,1,1,NA,NA,NA,NA,NA,-9,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"1632",NA,"0105017C",1,1,4,-9,2,1,NA,-9,66,NA,2,25000,NA,-9,-9,1,2,NA,NA,NA,NA
"1633",NA,"0105018C",1,-9,-9,NA,NA,NA,NA,NA,-9,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"1634",NA,"0105019C",1,-9,-9,NA,NA,NA,NA,NA,-9,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"1635",NA,"0105020C",1,-9,-9,NA,NA,NA,NA,NA,-9,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"1636",NA,"0105021C",1,-9,-9,NA,NA,NA,NA,NA,-9,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"1637",NA,"0105022C",1,1,1,-9,NA,NA,NA,-9,65.67,NA,4,NA,NA,-9,-9,1,2,NA,NA,NA,NA
"1638",NA,"0105023C",1,-9,-9,NA,NA,NA,NA,NA,-9,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"1639",NA,"0105024C",1,-9,-9,NA,NA,NA,NA,NA,-9,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"1640",NA,"0110001C",1,1,-9,35.6,NA,NA,NA,15,64,NA,NA,NA,-9,-9,2,3,1,NA,NA,NA,NA
"1641",6,"0110003C",1,2,2,22.21,1,2,1,12,66.8,17,9,40000,-9,1,1,3,1,8,6,3,2
"1642",5,"0110004C",1,2,5,32.81,2,2,2,12,69.77,13,7,30000,-9,3,4,3,1,9,9,5,0
"1643",6,"0110005C",1,2,2,18.49,1,2,1,11,64.2,16,NA,16000,-9,1,0,3,1,NA,NA,NA,1
"1644",1,"0110006C",1,1,2,21.06,1,2,1,9,79,16,NA,50000,-9,1,0,3,1,NA,NA,NA,2
"1645",6,"0110007C",1,2,2,24.18,1,2,4,16,67.37,17,4,27109,-9,2,3,3,1,8,7,4,0
"1646",NA,"0110008C",1,1,2,27.86,1,2,NA,15,67.47,NA,11,60000,3,2,2,3,1,8,8,4,NA
"1647",6,"0110009C",1,2,2,31.18,1,2,1,10,69.03,10,9,42000,3,3,1,3,1,NA,NA,NA,1
"1648",-9,"0110010C",1,1,2,13.73,1,2,3,6,61.07,13,2,7200,3,0,0,3,1,NA,NA,NA,1
"1649",6,"0110011C",1,2,2,14.67,1,2,4,11,62.67,10,NA,12800,3,1,0,3,1,NA,NA,4,0
"1650",1,"0110012C",1,2,2,21.74,1,2,4,12,66.27,13,2,10000,3,1,1,3,1,NA,NA,NA,0
"1651",2,"0110013C",1,2,2,17.35,1,2,2,14,67.83,16,11,130000,3,1,0,3,1,NA,NA,NA,0
"1652",NA,"0110014C",1,1,2,18.49,1,2,NA,-9,60.27,NA,3,17000,NA,1,0,3,1,NA,NA,NA,NA
"1653",NA,"0110015C",1,2,5,14.05,NA,NA,NA,7,60.9,NA,2,NA,4,0,0,3,1,6,4,2,NA
"1654",6,"0110016C",1,1,2,17.19,1,2,1,11,59.03,11,NA,11000,4,1,1,3,1,7,5,3,1
"1655",0,"0110017C",1,1,2,18.49,1,2,5,6,70.33,12,10,30000,NA,1,0,3,1,NA,NA,NA,0
"1656",5,"0110018C",1,2,2,18.49,1,2,3,6,66.47,16,NA,18000,4,1,0,3,1,NA,NA,NA,2
"1657",NA,"0110019C",1,1,2,22.05,1,2,NA,9,62.17,NA,10,80000,4,2,1,3,1,NA,NA,NA,NA
"1658",0,"0110020C",1,1,2,17.87,1,2,3,11,58.93,12,2,10000,4,1,0,3,1,NA,NA,NA,4
"1659",6,"0110021C",1,1,2,18.49,1,2,4,7,63.27,17,4,5300,3,1,0,3,1,8,6,4,0
"1660",NA,"0110022C",1,2,2,NA,1,2,NA,NA,-9,NA,2,9600,NA,NA,NA,3,1,NA,NA,NA,NA
"1661",5,"0110023C",1,1,2,18.46,1,2,1,13,66.23,11,9,40000,3,1,0,3,1,8,3,3,4
"1662",NA,"0110024C",1,2,2,21.33,NA,NA,NA,14,63.47,NA,NA,NA,NA,2,0,3,1,NA,NA,NA,NA
"1663",6,"0113002C",1,2,5,27.44,2,2,1,16,67.93,20,NA,60000,3,2,1,NA,NA,NA,NA,NA,1
"1664",0,"0113003C",1,1,5,22.53,2,2,1,8,62.47,18,11,1e+05,3,2,1,NA,NA,NA,NA,NA,1
"1665",7,"0113004C",1,1,5,-1,2,2,1,-1,59.43,21,NA,170000,3,-1,-1,NA,NA,NA,NA,NA,1
"1666",3,"0113005C",1,1,1,25.76,2,2,1,8,64.23,17,12,2e+05,3,2,0,NA,NA,NA,NA,NA,1
"1667",0,"0113006C",1,2,2,34.86,1,2,2,13,58,18,8,30000,3,3,-9,NA,NA,NA,NA,NA,0
"1668",6,"0113008C",1,1,4,26.66,2,1,3,8,65.63,13,5,18000,3,1,1,NA,NA,7,7,2,1
"1669",6,"0113009C",1,1,1,19.57,2,2,1,9,63.73,18,12,1e+05,3,1,1,NA,NA,NA,NA,NA,1
